septic_id,septic_capacity,steel_id,steel_capacity,houses
D1-B5-T16,4,,,"D1-B5-H32,D1-B5-H33,D1-B5-H34,D1-B5-H35,D1-B5-H36,D1-B5-H37,D1-B5-H38,D1-B5-H39"
D1-B5-T17,4,,,"D1-B5-H30,D1-B5-H31,D1-B5-H33,D1-B5-H34,D1-B5-H39,D1-B5-H144,D1-B5-H145,D1-B5-H147"
D1-B5-T18,4,,,"D1-B4-H80,D1-B4-H81,D1-B4-H82,D1-B4-H83,D1-B5-H24,D1-B5-H25,D1-B5-H26,D1-B5-H27,D1-B5-H28"
D1-B5-T19,4,,,"D1-B4-H81,D1-B4-H82,D1-B5-H17,D1-B5-H18,D1-B5-H19,D1-B5-H20,D1-B5-H21,D1-B5-H23,D1-B5-H159,D1-B5-H166"
D1-B5-T20,4,,,"D1-B5-H155,D1-B5-H156,D1-B5-H157,D1-B5-H160,D1-B5-H162,D1-B5-H163,D1-B5-H164,D1-B5-H165,D1-B5-H166"
D1-B5-T21,4,,,"D1-B5-H9,D1-B5-H10,D1-B5-H11,D1-B5-H13,D1-B5-H14,D1-B5-H16"
D1-B5-T22,4,,,"D1-B5-H5,D1-B5-H6,D1-B5-H7,D1-B5-H176,D1-B5-H182,D1-B5-H183"
D1-B5-T23,4,,,"D1-B5-H168,D1-B5-H169,D1-B5-H172,D1-B5-H173,D1-B5-H174,D1-B5-H177,D1-B6-H9,D1-B6-H10,D1-B6-H11,D1-B6-H14"
D1-B5-T24,4,,,"D1-B5-H184,D1-B5-H185,D1-B5-H186,D1-B5-H188,D1-B5-H189,D1-B5-H190"
D1-B5-T25,4,,,"D1-B5-H179,D1-B5-H187,D1-B6-H1,D1-B6-H2,D1-B6-H3"
D1-B6-T1,4,,,"D1-B6-H90,D1-B6-H91,D1-B6-H92,D1-B6-H94,D1-B6-H95"
D1-B6-T2,4,,,"D1-B6-H85,D1-B6-H86,D1-B6-H87,D1-B6-H88,D1-B6-H89"
D1-B6-T3,4,,,"D1-B6-H93,D1-B6-H96,D1-B6-H97,D1-B6-H98,D1-B6-H99"
D1-B6-T4,4,,,"D1-B5-H94,D1-B5-H95,D1-B6-H80,D1-B6-H81,D1-B6-H84"
D1-B6-T5,4,,,"D1-B6-H82,D1-B6-H100,D1-B6-H101,D1-B6-H102,D1-B6-H103"
D1-B6-T6,4,,,"D1-B6-H104,D1-B6-H106,D1-B6-H107,D1-B6-H110,D1-B7-H56,D1-B7-H57"
D1-B6-T7,4,,,"D1-B6-H74,D1-B6-H77,D1-B6-H79,D1-B6-H105,D1-B6-H108"
D1-B6-T8,8,,,"D1-B6-H72,D1-B6-H73,D1-B6-H109,D1-B6-H111"
D1-B6-T9,4,,,"D1-B6-H60,D1-B6-H61,D1-B6-H62,D1-B6-H65,D1-B6-H66,D1-B6-H67"
D1-B6-T10,4,,,"D1-B6-H59,D1-B6-H63,D1-B6-H64,D1-B6-H68,D1-B6-H69,D1-B6-H111,D1-B6-H112,D1-B6-H114,D1-B6-H115"
D1-B6-T11,4,,,"D1-B7-H42,D1-B7-H43,D1-B7-H44,D1-B7-H45,D1-B7-H46,D1-B7-H47,D1-B7-H48,D1-B7-H49,D1-B7-H50"
D1-B6-T12,4,,,"D1-B5-H116,D1-B5-H121,D1-B5-H122,D1-B5-H124,D1-B6-H49,D1-B6-H50,D1-B6-H51,D1-B6-H55,D1-B6-H56,D1-B6-H57,D1-B6-H60"
D1-B6-T13,4,,,"D1-B6-H48,D1-B6-H49,D1-B6-H54,D1-B6-H55,D1-B6-H56,D1-B6-H57,D1-B6-H58,D1-B6-H116,D1-B6-H117,D1-B6-H118,D1-B6-H119"
D1-B6-T14,4,,,"D1-B5-H139,D1-B5-H143,D1-B5-H144,D1-B5-H147,D1-B6-H35,D1-B6-H36,D1-B6-H39,D1-B6-H40,D1-B6-H41,D1-B6-H43,D1-B6-H44"
D1-B6-T15,8,,,"D1-B6-H38,D1-B6-H41,D1-B6-H42,D1-B6-H46,D1-B6-H120,D1-B6-H122,D1-B6-H123"
D1-B6-T16,4,,,"D1-B6-H33,D1-B6-H34,D1-B6-H37,D1-B6-H42,D1-B6-H124,D1-B6-H126"
D1-B6-T17,8,,,"D1-B6-H127,D1-B7-H31,D1-B7-H32,D1-B7-H33"
D1-B6-T18,4,,,"D1-B5-H148,D1-B5-H150,D1-B5-H151,D1-B5-H152,D1-B5-H153,D1-B5-H154,D1-B6-H30,D1-B6-H31,D1-B6-H32"
D1-B6-T19,4,,,"D1-B6-H22,D1-B6-H25,D1-B6-H26,D1-B6-H27,D1-B6-H28,D1-B6-H29"
D1-B6-T20,4,,,"D1-B6-H21,D1-B6-H134,D1-B6-H135,D1-B6-H136,D1-B6-H137"
D1-B6-T21,4,,,"D1-B6-H16,D1-B6-H18,D1-B6-H19,D1-B6-H23,D1-B6-H24"
D1-B6-T22,4,,,"D1-B6-H140,D1-B6-H141,D1-B7-H12,D1-B7-H13,D1-B7-H14,D1-B7-H15,D1-B7-H16"
D1-B6-T23,4,,,"D1-B6-H141,D1-B6-H142,D1-B6-H143,D1-B6-H144,D1-B7-H7,D1-B7-H9,D1-B7-H10,D1-B7-H11,D1-B7-H13"
D1-B6-T24,4,,,"D1-B5-H178,D1-B5-H180,D1-B5-H181,D1-B6-H6,D1-B6-H7"
D1-B6-T25,4,,,"D1-B6-H144,D1-B6-H146,D1-B6-H147,D1-B7-H1,D1-B7-H2,D1-B7-H3,D1-B7-H4,D1-B7-H5,D1-B7-H6,D1-B7-H7"
D1-B7-T1,4,,,"D1-B7-H51,D1-B7-H52,D1-B7-H53,D1-B7-H54"
D1-B7-T2,4,,,"D1-B7-H51,D1-B7-H53,D1-B7-H54,D1-B7-H58,D1-B7-H59,D1-B7-H60,D1-B7-H61"
D1-B7-T3,2,,,"D1-B7-H63,D1-B7-H64,D1-B8-H35,D1-B8-H36"
D1-B7-T4,4,,,"D1-B6-H118,D1-B6-H119,D1-B6-H121,D1-B6-H122,D1-B7-H34,D1-B7-H35,D1-B7-H36,D1-B7-H37,D1-B7-H38,D1-B7-H39,D1-B7-H40,D1-B7-H70,D1-B7-H71"
D1-B7-T5,4,,,"D1-B7-H25,D1-B7-H26,D1-B7-H27,D1-B7-H29,D1-B7-H30,D1-B7-H87,D1-B7-H88,D1-B7-H89"
D1-B7-T6,4,,,"D1-B6-H128,D1-B6-H129,D1-B6-H130,D1-B6-H132,D1-B7-H20,D1-B7-H22,D1-B7-H23,D1-B7-H24"
D1-B7-T7,4,,,"D1-B7-H17,D1-B7-H18,D1-B7-H19,D1-B7-H21"
D1-B7-T8,4,,,"D1-B7-H96,D1-B7-H97,D1-B7-H98,D1-B8-H2,D1-B8-H3,D1-B8-H4,D1-B8-H5,D1-B8-H6,D1-B8-H7,D1-B8-H8,D1-B8-H9,D1-B8-H65,D1-B8-H66,D1-B8-H68"
D1-B7-T9,8,,,"D1-B7-H3,D1-B7-H4,D1-B7-H6,D1-B7-H8,D1-B7-H10,D1-B7-H97,D1-B7-H99,D1-B7-H101"
D1-B7-T10,4,,,"D1-B7-H102,D1-B7-H103,D1-B7-H104,D1-B7-H106,D1-B7-H107,D1-B8-H1,D1-B8-H71,D1-B8-H72"
D1-B8-T1,4,,,"D1-B7-H55,D1-B8-H42,D1-B8-H43,D1-B8-H44,D1-B8-H45,D1-B8-H46"
D1-B8-T2,4,,,"D1-B8-H34,D1-B8-H36,D1-B8-H37,D1-B8-H38,D1-B8-H39,D1-B8-H40,D1-B8-H41,D1-B8-H52,D1-B9-H29,D1-B9-H30,D1-B9-H31,D1-B9-H32,D1-B9-H33"
D1-B8-T3,4,,,"D1-B8-H31,D1-B8-H32,D1-B8-H33,D1-B8-H34,D1-B8-H35,D1-B9-H25,D1-B9-H26,D1-B9-H27,D1-B9-H28,D1-B9-H63,D1-B9-H66"
D1-B8-T4,4,,,"D1-B7-H40,D1-B7-H41,D1-B7-H42,D1-B7-H66,D1-B7-H67,D1-B7-H68,D1-B7-H70,D1-B8-H32,D1-B8-H33"
D1-B8-T5,8,,,"D1-B7-H69,D1-B7-H71,D1-B7-H79,D1-B7-H81,D1-B7-H82,D1-B8-H24,D1-B8-H27"
D1-B8-T6,8,,,"D1-B8-H23,D1-B8-H24,D1-B8-H25,D1-B8-H26,D1-B8-H27,D1-B8-H28,D1-B8-H29,D1-B8-H30,D1-B8-H47,D1-B8-H48,D1-B8-H49,D1-B8-H50,D1-B8-H51,D1-B8-H52,D1-B8-H53,D1-B8-H54"
D1-B8-T7,2,,,D1-B8-H22
D1-B8-T8,2,,,"D1-B7-H91,D1-B8-H14"
D1-B8-T9,8,,,"D1-B8-H61,D1-B8-H62,D1-B8-H63,D1-B8-H64,D1-B9-H11,D1-B9-H12,D1-B9-H13,D1-B9-H14,D1-B9-H15"
D1-B8-T10,8,,,"D1-B8-H65,D1-B8-H66,D1-B8-H67,D1-B8-H68,D1-B9-H7,D1-B9-H8,D1-B9-H9,D1-B9-H10"
D1-B9-T1,4,,,"D1-B9-H36,D1-B9-H37,D1-B9-H38,D1-B9-H39,D1-B9-H40,D1-B9-H42,D1-B9-H43,D1-B9-H47"
D1-B9-T2,8,,,"D1-B9-H41,D1-B9-H45,D1-B10-H100,D1-B10-H214,D1-B10-H215,D1-B10-H216,D1-B10-H226,D1-B10-H227"
D1-B9-T3,4,,,"D1-B9-H35,D1-B9-H48,D1-B9-H50,D1-B9-H51,D1-B10-H207"
D1-B9-T4,4,,,"D1-B9-H55,D1-B9-H56,D1-B9-H57,D1-B9-H58,D1-B10-H97,D1-B10-H188,D1-B10-H189,D1-B10-H196,D1-B10-H198,D1-B10-H199"
D1-B9-T5,4,,,"D1-B9-H59,D1-B9-H60,D1-B9-H61,D1-B9-H62,D1-B9-H64-1,D1-B9-H64,D1-B9-H65"
D1-B9-T6,4,,,"D1-B9-H21,D1-B9-H22,D1-B9-H74,D1-B9-H76"
D1-B9-T7,8,,,"D1-B9-H23,D1-B9-H24,D1-B9-H70,D1-B9-H71"
D1-B9-T8,4,,,"D1-B9-H81,D1-B9-H85,D1-B9-H86,D1-B9-H88"
D1-B9-T9,4,,,"D1-B8-H54,D1-B9-H77,D1-B9-H81,D1-B9-H84,D1-B9-H86"
D1-B9-T10,4,,,"D1-B8-H54,D1-B8-H55,D1-B8-H56,D1-B8-H57,D1-B9-H18"
D1-B9-T11,4,,,"D1-B8-H17,D1-B8-H19,D1-B8-H58,D1-B8-H59,D1-B9-H16,D1-B9-H17"
D1-B9-T12,8,,,"D1-B9-H89,D1-B9-H91,D1-B9-H92,D1-B9-H93"
D1-B9-T13,8,,,"D1-B8-H69,D1-B8-H70,D1-B8-H71,D1-B8-H72,D1-B8-H73,D1-B9-H2,D1-B9-H3,D1-B9-H4,D1-B9-H5,D1-B9-H6,D1-B9-H104,D1-B9-H105,D1-B9-H106"
D1-B9-T14,4,,,"D1-B9-H1,D1-B9-H10,D1-B9-H102,D1-B9-H103,D1-B9-H105,D1-B9-H106,D1-B9-H107"
D1-B10-T1,4,,,"D1-B10-H254,D1-B10-H255,D1-B10-H256,D1-B10-H257,D1-B10-H275,D1-B10-H276"
D1-B10-T2,4,,,"D1-B10-H249,D1-B10-H250,D1-B10-H251,D1-B10-H252,D1-B10-H253"
D1-B10-T3,4,,,"D1-B10-H145,D1-B10-H245,D1-B10-H246,D1-B10-H247,D1-B10-H248,D1-B10-H255,D1-B10-H258"
D1-B10-T4,4,,,"D1-B10-H243,D1-B10-H244,D1-B10-H259,D1-B10-H260,D1-B10-H273,D1-B10-H274"
D1-B10-T5,4,,,"D1-B10-H262,D1-B10-H266,D1-B10-H268,D1-B10-H269,D1-B10-H270,D1-B10-H271,D1-B10-H272"
D1-B10-T6,4,,,"D1-B10-H238,D1-B10-H239,D1-B10-H240,D1-B10-H241,D1-B10-H242,D1-B10-H261,D1-B10-H262,D1-B10-H263,D1-B10-H264,D1-B10-H265,D1-B10-H267"
D1-B10-T7,4,,,"D1-B10-H225,D1-B10-H228,D1-B10-H229,D1-B10-H230,D1-B10-H231,D1-B10-H232,D1-B10-H233,D1-B10-H235,D1-B10-H236"
D1-B10-T8,2,,,"D1-B10-H220,D1-B10-H221,D1-B10-H222,D1-B10-H236,D1-B10-H237"
D1-B10-T9,4,,,"D1-B10-H212,D1-B10-H213,D1-B10-H217,D1-B10-H218,D1-B10-H222-1,D1-B10-H223"
D1-B10-T10,2,,,"D1-B10-H193,D1-B10-H203"
D1-B10-T11,4,,,"D2-B1-H73,D2-B1-H84,D2-B1-H85,D2-B1-H86,D2-B1-H94,D2-B1-H95,D2-B1-H96"
D1-B10-T12,4,,,"D1-B10-H190,D1-B10-H193,D1-B10-H195,D1-B10-H200,D1-B10-H201,D1-B10-H202,D1-B10-H203,D1-B10-H204,D1-B10-H205,D1-B10-H206,D1-B10-H208,D1-B10-H209,D1-B10-H210,D1-B10-H211"
D1-B10-T13,4,,,"D1-B10-H169,D1-B10-H170,D1-B10-H171,D1-B10-H172,D1-B10-H173,D1-B10-H174"
D1-B10-T14,4,,,"D2-B1-H55,D2-B1-H61,D2-B1-H63,D2-B1-H64,D2-B1-H70,D2-B1-H71,D2-B1-H72"
D1-B10-T15,8,,,"D1-B10-H182,D1-B10-H184,D1-B10-H185,D1-B10-H187,D1-B10-H190,D1-B10-H192"
D1-B10-T16,4,,,"D1-B10-H158,D1-B10-H160,D1-B10-H161,D1-B10-H177,D1-B10-H178,D1-B10-H179,D1-B10-H180,D1-B10-H181,D1-B10-H182,D1-B10-H183"
D1-B10-T17,8,,,"D1-B10-H152,D1-B10-H153,D1-B10-H154,D1-B10-H164,D1-B10-H165,D1-B10-H166,D1-B10-H167,D1-B10-H170"
D1-B10-T18,4,,,"D1-B10-H133,D1-B10-H137,D1-B10-H139,D1-B10-H142,D1-B10-H155,D1-B10-H157,D1-B10-H160"
D1-B10-T19,4,,,"D1-B10-H135,D1-B10-H136,D1-B10-H142,D1-B10-H143,D1-B10-H144,D1-B10-H153,D1-B10-H155"
D1-B10-T20,4,,,"D1-B10-H121,D1-B10-H127,D1-B10-H129,D1-B10-H130,D1-B10-H131,D1-B10-H132,D1-B10-H133,D1-B10-H145,D1-B10-H146"
D1-B10-T21,4,,,"D1-B10-H125,D1-B10-H128,D1-B10-H147,D1-B10-H148,D1-B10-H149,D1-B10-H150"
D1-B10-T22,4,,,"D1-B10-H112,D1-B10-H113,D1-B10-H123,D1-B10-H124,D1-B10-H126"
D1-B10-T23,4,,,"D1-B10-H99,D1-B10-H103,D1-B10-H110,D1-B10-H114,D1-B10-H115,D1-B10-H116,D1-B10-H122"
D1-B10-T24,8,,,"D1-B10-H104,D1-B10-H105,D1-B10-H107,D1-B10-H108,D1-B10-H109,D1-B10-H117,D1-B10-H118,D1-B10-H119,D1-B10-H120,D1-B10-H134"
D1-B10-T25,4,,,"D1-B10-H82,D1-B10-H94,D1-B10-H95,D1-B10-H96,D1-B10-H97,D1-B10-H105,D1-B10-H106"
D1-B10-T26,8,,,"D1-B10-H86,D1-B10-H87,D1-B10-H89,D1-B10-H90,D1-B10-H101,D1-B10-H102,D1-B10-H112"
D1-B10-T27,4,,,"D1-B10-H79,D1-B10-H80,D1-B10-H81,D1-B10-H83,D1-B10-H84,D1-B10-H92,D1-B10-H93,D1-B10-H94,D1-B10-H98"
D1-B10-T28,8,,,"D1-B10-H53,D1-B10-H54,D1-B10-H58,D1-B10-H59,D1-B10-H71,D1-B10-H73,D1-B10-H74,D1-B10-H75,D1-B10-H76,D1-B10-H87,D1-B10-H92"
D1-B10-T29,4,,,"D1-B10-H31,D1-B10-H36,D1-B10-H44,D1-B10-H45,D1-B10-H51,D1-B10-H60,D1-B10-H61,D1-B10-H62,D1-B10-H70"
D1-B10-T30,4,,,"D1-B10-H63,D1-B10-H64,D1-B10-H67,D1-B10-H68,D1-B10-H69"
D1-B10-T31,4,,,"D1-B9-H11,D1-B9-H12,D1-B9-H94,D1-B9-H95,D1-B9-H96,D1-B9-H97,D1-B9-H98,D1-B9-H99,D1-B9-H100,D1-B9-H101,D1-B10-H55,D1-B10-H56"
D1-B10-T32,8,,,"D1-B10-H2,D1-B10-H13,D1-B10-H14,D1-B10-H15,D1-B10-H27,D1-B10-H28,D1-B10-H29,D1-B10-H38,D1-B10-H39,D1-B10-H40,D1-B10-H42,D1-B10-H43"
D1-B10-T33,4,,,"D1-B10-H24,D1-B10-H30,D1-B10-H32,D1-B10-H33,D1-B10-H34,D1-B10-H35,D1-B10-H46,D1-B10-H47,D1-B10-H48"
D1-B10-T34,4,,,"D1-B10-H3,D1-B10-H4,D1-B10-H10,D1-B10-H11,D1-B10-H12,D1-B10-H16,D1-B10-H17,D1-B10-H18,D1-B10-H25,D1-B10-H26,D1-B10-H29,D1-B10-H37"
D1-B10-T35,2,,,"D1-B10-H8,D1-B10-H20"
D1-B10-T36,8,,,"D1-B10-H5-1,D1-B10-H5,D1-B10-H6,D1-B10-H9,D1-B10-H18,D1-B10-H19"
D1-B10-T11,4,,,"D2-B1-H73,D2-B1-H84,D2-B1-H85,D2-B1-H86,D2-B1-H94,D2-B1-H95,D2-B1-H96"
D1-B10-T14,4,,,"D2-B1-H55,D2-B1-H61,D2-B1-H63,D2-B1-H64,D2-B1-H70,D2-B1-H71,D2-B1-H72"
D2-B1-T1,4,,,"D2-B1-H146,D2-B1-H147,D2-B1-H148,D2-B1-H149,D2-B1-H150"
D2-B1-T2,4,,,"D2-B1-H133,D2-B1-H134,D2-B1-H135,D2-B1-H136,D2-B1-H137,D2-B1-H145"
D2-B1-T3,8,,,"D2-B1-H139,D2-B1-H140,D2-B1-H141,D2-B1-H142,D2-B1-H143,D2-B1-H144,D2-B1-H150,D2-B1-H151,D2-B1-H152"
D2-B1-T4,4,,,"D2-B1-H129,D2-B1-H130,D2-B1-H131,D2-B1-H132"
D2-B1-T5,4,,,"D2-B1-H120,D2-B1-H123,D2-B1-H124,D2-B1-H125,D2-B1-H126,D2-B1-H127,D2-B1-H128"
